DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
2023-10-20 17:03:17.322,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:18.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:19.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:20.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:21.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:22.320,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:23.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:24.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:25.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
2023-10-20 17:03:26.321,73.42,0.00,0,73.41,73.41,235,0.0,46.0,100,10.0,39.00,17.00,0,3697,4,3462,9,3670,25.0,1,25.0,0,2.5,3681,3696,3696,3694,3697,3696,3478,3693,3697,3462,3676,3694,3694,3694,3696,3696,3696,3694,3696,3694,250,250,250,250,250,BF,FD,0F,00,00,00,00,62,03,00,1,1,2023-10-18
