DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
2023-10-17 11:07:44.230,71.83,0.06,0,71.83,71.83,1,0.0,29.6,0,75.0,0.00,0.00,0,3592,6,3591,1,3591,22.0,1,22.0,1,22.0,3591,3591,3591,3591,3591,3592,3592,3591,3592,3591,3591,3592,3592,3592,3592,3592,3592,3592,3592,3591,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:45.227,71.83,0.06,0,71.83,71.83,1,0.0,29.6,0,75.0,0.00,0.00,0,3592,7,3591,1,3591,22.0,1,22.0,1,22.0,3591,3591,3591,3591,3591,3591,3592,3591,3591,3591,3591,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:46.226,71.83,0.06,0,71.83,71.83,1,0.0,29.6,0,75.0,0.00,0.00,0,3592,1,3591,2,3591,22.0,1,22.0,1,22.0,3592,3591,3591,3591,3591,3592,3592,3591,3591,3591,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:47.226,71.83,0.07,0,71.83,71.83,1,0.0,29.6,0,75.0,0.00,0.00,0,3592,1,3591,2,3591,22.0,1,22.0,1,22.0,3592,3591,3591,3591,3591,3592,3592,3591,3591,3591,3591,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:48.226,71.83,0.07,0,71.82,71.82,1,0.0,29.6,0,75.0,0.00,0.00,0,3592,7,3591,1,3591,22.0,1,22.0,1,22.0,3591,3591,3591,3591,3591,3591,3592,3591,3591,3591,3591,3591,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:49.226,71.83,0.07,0,71.83,71.83,1,0.0,29.6,0,75.0,0.00,0.00,0,3592,7,3591,1,3591,22.0,1,22.0,1,22.0,3591,3591,3591,3591,3591,3591,3592,3591,3592,3591,3592,3592,3592,3592,3592,3592,3592,3592,3592,3591,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:50.227,71.58,-2.97,0,71.57,71.57,6,0.0,29.5,0,75.0,0.00,0.00,0,3582,15,3576,9,3578,22.0,1,22.0,1,22.0,3579,3580,3580,3577,3577,3580,3580,3577,3576,3579,3579,3577,3579,3580,3582,3579,3577,3582,3580,3579,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:51.227,71.56,-4.62,0,71.56,71.56,6,0.0,29.5,0,75.0,0.00,0.00,0,3582,15,3576,4,3578,22.0,1,22.0,1,22.0,3577,3579,3579,3576,3577,3580,3580,3577,3576,3579,3579,3576,3577,3580,3582,3577,3576,3580,3579,3577,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:52.227,71.56,-4.63,0,71.55,71.55,4,0.0,29.5,0,75.0,0.00,0.00,0,3580,15,3576,1,3577,22.0,1,22.0,1,22.0,3576,3579,3579,3576,3576,3579,3579,3577,3576,3579,3579,3576,3577,3579,3580,3577,3576,3580,3579,3577,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:53.227,71.55,-4.63,0,71.55,71.55,6,0.0,29.5,0,75.0,0.00,0.00,0,3580,6,3574,4,3577,22.0,1,22.0,1,22.0,3577,3579,3579,3574,3576,3580,3579,3576,3576,3577,3579,3576,3577,3579,3580,3577,3576,3580,3579,3577,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:54.227,71.55,-4.63,0,71.54,71.54,6,0.0,29.5,0,75.0,0.00,0.00,0,3580,15,3574,4,3577,22.0,1,22.0,1,22.0,3576,3579,3579,3574,3576,3579,3579,3576,3576,3577,3577,3576,3576,3579,3580,3577,3576,3580,3579,3576,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:55.227,71.54,-4.64,0,71.53,71.53,6,0.0,29.5,0,75.0,0.00,0.00,0,3580,15,3574,4,3576,22.0,1,22.0,1,22.0,3576,3577,3577,3574,3576,3579,3579,3576,3576,3577,3577,3574,3576,3579,3580,3576,3574,3580,3579,3576,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:56.226,71.53,-4.65,0,71.53,71.53,6,0.0,29.5,0,75.0,0.00,0.00,0,3580,15,3574,4,3576,22.0,1,22.0,1,22.0,3576,3577,3579,3574,3576,3579,3577,3576,3574,3577,3577,3574,3576,3577,3580,3577,3576,3579,3577,3576,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:57.226,71.54,-5.16,0,71.53,71.53,5,0.0,29.5,0,75.0,0.00,0.00,0,3579,3,3574,4,3576,22.0,1,22.0,1,22.0,3576,3577,3579,3574,3574,3579,3579,3576,3574,3577,3577,3576,3576,3577,3579,3576,3576,3579,3579,3576,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:58.226,71.42,-7.15,0,71.42,71.42,8,0.0,29.5,0,75.0,0.00,0.00,0,3576,15,3568,4,3571,22.0,1,22.0,1,22.0,3570,3573,3573,3568,3568,3573,3573,3570,3568,3571,3571,3568,3570,3573,3576,3570,3568,3574,3573,3570,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 11:07:59.226,71.33,-8.72,0,71.32,71.32,9,0.0,29.5,0,75.0,0.00,0.00,0,3571,15,3562,4,3566,22.0,1,22.0,1,22.0,3565,3568,3570,3562,3564,3570,3568,3565,3562,3567,3568,3562,3564,3568,3571,3565,3564,3570,3568,3565,220,220,220,220,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
