DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,,,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
57:39.7,71.8,0.07,0.8,0.056,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3589,3592,3592,3592,3592,3592,3592,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:40.7,71.81,0.07,0.8,0.056,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,2,3588,20,3590,22,1,22,1,22,3591,3592,3591,3592,3592,3592,3592,3592,3591,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:41.7,71.8,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,1,3588,17,3590,22,1,22,1,22,3592,3591,3591,3592,3591,3591,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3588,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:42.7,71.81,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,2,3588,20,3590,22,1,22,1,22,3591,3592,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:43.7,71.81,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:44.7,71.8,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3591,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:45.7,71.81,0.07,0.8,0.056,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,1,3588,20,3590,22,1,22,1,22,3592,3591,3591,3592,3592,3592,3592,3592,3591,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:46.7,71.8,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3591,3592,3591,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:47.7,71.8,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,11,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3588,3588,3589,3589,3589,3589,3588,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:48.7,71.8,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:49.7,71.8,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,12,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3589,3588,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:50.7,71.81,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:51.7,71.81,0.08,0.8,0.064,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,2,3588,20,3590,22,1,22,1,22,3591,3592,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:52.7,71.81,0.1,0.8,0.08,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,12,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3588,3589,3589,3589,3589,3589,3589,3589,3589,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:53.7,71.8,0.09,0.8,0.072,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,12,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3591,3592,3592,3591,3591,3589,3588,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:54.7,71.8,0.09,0.8,0.072,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,2,3588,15,3590,22,1,22,1,22,3591,3592,3591,3592,3592,3592,3591,3592,3591,3591,3589,3589,3589,3589,3588,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:55.7,71.8,0.09,0.8,0.072,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3591,3592,3592,3592,3591,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:56.7,71.81,0.09,0.8,0.072,0,71.8,71.8,3,0,29.6,0,75,0,0,0,3592,4,3589,11,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:57.7,71.8,0.09,0.8,0.072,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:58.7,71.8,0.1,0.8,0.08,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,5,3588,20,3590,22,1,22,1,22,3591,3591,3591,3591,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
57:59.7,71.8,0.1,0.8,0.08,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,12,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3589,3588,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:00.7,71.81,0.1,0.8,0.08,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:01.7,71.8,0.11,0.8,0.088,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3591,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:02.7,71.8,0.1,0.8,0.08,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,11,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3588,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:03.7,71.8,0.1,0.8,0.08,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,12,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3588,3589,3589,3589,3589,3589,3588,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
