DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
2023-10-17 09:56:02.075,71.17,-0.87,0,71.16,71.16,7,0.0,28.0,0,75.0,0.00,0.00,0,3562,15,3555,4,3558,21.0,1,21.0,1,21.0,3556,3558,3559,3555,3556,3559,3558,3556,3555,3559,3559,3556,3559,3561,3562,3559,3558,3562,3561,3559,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:03.072,71.43,-0.87,0,71.43,71.43,4,0.0,28.0,0,75.0,0.00,0.00,0,3574,15,3570,1,3571,21.0,1,21.0,1,21.0,3570,3571,3570,3570,3570,3570,3570,3570,3570,3571,3573,3571,3573,3573,3574,3573,3574,3573,3573,3573,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:04.072,71.44,0.04,0,71.43,71.43,4,0.0,28.0,0,75.0,0.00,0.00,0,3574,15,3570,1,3571,21.0,1,21.0,1,21.0,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:05.072,71.44,0.04,0,71.44,71.44,4,0.0,28.0,0,75.0,0.00,0.00,0,3574,15,3570,1,3572,21.0,1,21.0,1,21.0,3570,3570,3570,3570,3571,3570,3571,3571,3571,3571,3573,3573,3573,3573,3574,3574,3574,3574,3574,3573,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:06.072,71.44,0.04,0,71.43,71.43,4,0.0,28.0,0,75.0,0.00,0.00,0,3574,15,3570,1,3571,21.0,1,21.0,1,21.0,3570,3571,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3574,3574,3573,3574,3573,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:07.071,71.18,-2.83,0,71.18,71.18,6,0.0,28.0,0,75.0,0.00,0.00,0,3562,15,3556,1,3559,21.0,1,21.0,1,21.0,3556,3559,3559,3556,3558,3561,3559,3558,3556,3559,3561,3558,3559,3561,3562,3559,3559,3562,3562,3559,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:08.072,71.18,-4.57,0,71.17,71.17,9,0.0,28.0,0,75.0,0.00,0.00,0,3564,15,3555,4,3558,21.0,1,21.0,1,21.0,3556,3558,3559,3555,3556,3559,3559,3558,3555,3559,3561,3556,3559,3561,3564,3559,3559,3562,3562,3559,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:09.072,71.16,-4.57,0,71.16,71.16,7,0.0,28.0,0,75.0,0.00,0.00,0,3562,15,3555,1,3558,21.0,1,21.0,1,21.0,3555,3558,3558,3555,3556,3559,3558,3556,3555,3559,3559,3556,3559,3561,3562,3559,3558,3562,3561,3558,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:10.072,71.16,-4.57,0,71.16,71.16,7,0.0,28.0,0,75.0,0.00,0.00,0,3562,15,3555,1,3558,21.0,1,21.0,1,21.0,3555,3558,3559,3555,3556,3558,3558,3556,3555,3559,3559,3556,3558,3561,3562,3558,3558,3561,3561,3558,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:11.072,71.16,-4.58,0,71.15,71.15,7,0.0,28.0,0,75.0,0.00,0.00,0,3562,15,3555,1,3557,21.0,1,21.0,1,21.0,3555,3558,3558,3555,3556,3559,3558,3556,3555,3558,3559,3556,3558,3559,3562,3558,3558,3561,3561,3558,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:12.072,71.15,-4.58,0,71.15,71.15,9,0.0,28.0,0,75.0,0.00,0.00,0,3562,15,3553,4,3557,21.0,1,21.0,1,21.0,3555,3558,3558,3553,3555,3558,3558,3556,3553,3558,3559,3555,3558,3559,3562,3558,3558,3561,3561,3558,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 09:56:13.071,71.15,-4.57,0,71.14,71.14,8,0.0,28.0,0,75.0,0.00,0.00,0,3561,15,3553,4,3557,21.0,1,21.0,1,21.0,3555,3556,3558,3553,3555,3558,3558,3556,3553,3558,3559,3556,3558,3559,3561,3558,3558,3561,3561,3558,210,210,210,210,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
